filename,accuracy
F1_happy_07_R,1.0
F1_happy_08_R,1.0
F1_happy_09_R,1.0
F1_happy_10_R,1.0
F1_happy_11_R,1.0
F1_happy_12_R,1.0
F1_happy_13_R,0.0
F1_happy_14_R,1.0
F1_happy_15_R,1.0
F1_sad_00_F,0.33
F1_sad_00_R,0.67
F1_sad_01_F,0.33
F1_sad_01_R,0.67
F1_sad_02_F,0.67
F1_sad_02_R,0.0
F1_sad_03_R,0.0
F1_sad_04_R,0.67
F1_sad_05_R,0.33
F1_sad_06_R,0.67
F1_surprise_00_F,1.0
F1_surprise_00_R,0.33
F1_surprise_01_F,1.0
F1_surprise_01_R,0.67
F1_surprise_02_F,0.33
F1_surprise_02_R,1.0
F1_surprise_03_R,0.67
F1_surprise_04_R,1.0
F1_surprise_05_R,0.67
F1_surprise_06_R,0.67
F1_surprise_07_R,1.0
F1_surprise_08_R,1.0
F1_surprise_09_R,1.0
F1_surprise_10_R,0.67
F1_surprise_11_R,0.67
F1_surprise_12_R,1.0
F1_surprise_13_R,1.0
F1_surprise_14_R,0.67
F1_surprise_15_R,1.0
F1_surprise_16_R,0.0
F1_surprise_17_R,0.67
F1_surprise_18_R,1.0
F1_surprise_19_R,0.33
F1_surprise_20_R,0.0
F1_surprise_21_R,1.0
F1_surprise_22_R,0.67
F1_surprise_23_R,1.0
F1_surprise_24_R,0.67
F1_surprise_25_R,1.0
F1_surprise_26_R,0.67
F1_surprise_27_R,1.0
F1_surprise_28_R,0.67
F1_surprise_29_R,0.33
M2_angry_00_F,0.67
M2_angry_00_R,1.0
M2_angry_01_F,1.0
M2_angry_01_R,1.0
M2_angry_02_F,1.0
M2_angry_02_R,1.0
M2_angry_03_R,0.33
M2_angry_04_R,1.0
M2_angry_05_R,1.0
M2_angry_06_R,0.33
M2_angry_07_R,1.0
M2_angry_08_R,1.0
M2_angry_09_R,1.0
M2_angry_10_R,1.0
M2_angry_11_R,1.0
M2_angry_12_R,1.0
M2_angry_13_R,1.0
M2_disgust_00_F,1.0
M2_disgust_00_R,0.33
M2_disgust_01_F,1.0
M2_disgust_01_R,1.0
M2_disgust_02_F,1.0
M2_disgust_02_R,0.33
M2_disgust_03_R,1.0
M2_disgust_04_R,0.67
M2_disgust_05_R,1.0
M2_disgust_06_R,0.67
M2_disgust_07_R,1.0
M2_disgust_08_R,1.0
M2_disgust_09_R,1.0
M2_fear_00_F,0.67
M2_fear_00_R,0.33
M2_fear_01_F,0.67
M2_fear_01_R,0.33
M2_fear_02_F,1.0
M2_fear_02_R,0.33
M2_fear_03_R,1.0
M2_fear_04_R,1.0
M2_fear_05_R,1.0
M2_fear_06_R,1.0
M2_fear_07_R,0.67
M2_fear_08_R,0.67
M2_fear_09_R,0.67
M2_happy_00_F,1.0
M2_happy_00_R,1.0
M2_happy_01_F,1.0
M2_happy_01_R,1.0
M2_happy_02_F,1.0
M2_happy_02_R,0.0
M2_happy_03_R,1.0
M2_happy_04_R,0.0
M2_happy_05_R,1.0
M2_happy_06_R,0.33
M2_happy_07_R,1.0
M2_happy_08_R,0.33
M2_happy_09_R,1.0
M2_happy_10_R,1.0
M2_happy_11_R,1.0
M2_happy_12_R,1.0
M2_happy_13_R,0.33
M2_happy_14_R,1.0
M2_sad_00_F,1.0
M2_sad_00_R,0.33
M2_sad_01_F,1.0
M2_sad_01_R,0.67
M2_sad_02_F,1.0
M2_sad_02_R,0.0
M2_sad_03_R,0.67
M2_sad_04_R,0.67
M2_sad_05_R,1.0
M2_sad_06_R,0.33
M2_surprise_00_F,0.0
M2_surprise_00_R,1.0
M2_surprise_01_F,0.33
M2_surprise_01_R,0.67
M2_surprise_02_F,1.0
M2_surprise_02_R,1.0
M2_surprise_03_R,1.0
M2_surprise_04_R,1.0
M2_surprise_05_R,1.0
M2_surprise_06_R,1.0
M2_surprise_07_R,1.0
M2_surprise_08_R,0.67
M2_surprise_09_R,1.0
M2_surprise_10_R,1.0
M2_surprise_11_R,0.33
M2_surprise_12_R,1.0
M2_surprise_13_R,1.0
M2_surprise_14_R,1.0
M2_surprise_15_R,0.33
M2_surprise_16_R,0.0
M2_surprise_17_R,0.0
M2_surprise_18_R,0.67
M2_surprise_19_R,0.33
M2_surprise_20_R,0.5
M2_surprise_21_R,0.67
M2_surprise_22_R,0.33
M2_surprise_23_R,0.67
M2_surprise_24_R,1.0
M2_surprise_25_R,1.0
M2_surprise_26_R,0.0
M2_surprise_27_R,0.33
M2_surprise_28_R,1.0
M2_surprise_29_R,0.0
F2_angry_00_F,1.0
F2_angry_00_R,1.0
F2_angry_01_F,0.0
F2_angry_01_R,1.0
F2_angry_02_F,1.0
F2_angry_02_R,1.0
F2_angry_03_R,0.67
F2_angry_04_R,1.0
F2_angry_05_R,1.0
F2_angry_06_R,0.67
F2_angry_07_R,1.0
F2_angry_08_R,1.0
F2_angry_09_R,1.0
F2_angry_10_R,1.0
F2_angry_11_R,1.0
F2_angry_12_R,0.33
F2_angry_13_R,1.0
F2_disgust_00_F,1.0
F2_disgust_00_R,0.67
F2_disgust_01_F,1.0
